#  Interpolation error = 2.8146680E-08
# Normalising constant = 3.9413096E-01
 #      X             PDF_ex          PDF_ap           err
-1.940323   6.34896522E-02   0.063490   -0.000008   
-1.935484   6.40697188E-02   0.064070   -0.000000   
-1.935484   6.40697188E-02   0.064070   0.000000   
-1.930645   6.46536169E-02   0.064653   0.000008   
-1.925806   6.52413547E-02   0.065241   0.000011   
-1.920968   6.58329404E-02   0.065832   0.000009   
-1.916129   6.64283819E-02   0.066428   0.000006   
-1.911290   6.70276868E-02   0.067028   0.000000   
-1.906452   6.76308627E-02   0.067631   -0.000005   
-1.901613   6.82379170E-02   0.068239   -0.000009   
-1.896774   6.88488566E-02   0.068850   -0.000010   
-1.891935   6.94636885E-02   0.069464   -0.000008   
-1.887097   7.00824195E-02   0.070082   0.000000   
-1.887097   7.00824195E-02   0.070082   0.000000   
-1.882258   7.07050561E-02   0.070705   0.000007   
-1.877419   7.13316045E-02   0.071331   0.000010   
-1.872581   7.19620708E-02   0.071961   0.000009   
-1.867742   7.25964609E-02   0.072596   0.000005   
-1.862903   7.32347804E-02   0.073235   0.000000   
-1.858065   7.38770348E-02   0.073877   -0.000005   
-1.853226   7.45232293E-02   0.074524   -0.000009   
-1.848387   7.51733689E-02   0.075174   -0.000010   
-1.843548   7.58274582E-02   0.075828   -0.000008   
-1.838710   7.64855020E-02   0.076486   0.000000   
-1.838710   7.64855020E-02   0.076486   0.000000   
-1.833871   7.71475044E-02   0.077147   0.000007   
-1.829032   7.78134696E-02   0.077813   0.000010   
-1.824194   7.84834013E-02   0.078483   0.000008   
-1.819355   7.91573031E-02   0.079157   0.000005   
-1.814516   7.98351785E-02   0.079835   0.000000   
-1.809677   8.05170305E-02   0.080517   -0.000004   
-1.804839   8.12028619E-02   0.081204   -0.000008   
-1.800000   8.18926755E-02   0.081893   -0.000009   
-1.795161   8.25864735E-02   0.082587   -0.000007   
-1.790323   8.32842581E-02   0.083284   -0.000000   
-1.790323   8.32842581E-02   0.083284   0.000000   
-1.785484   8.39860311E-02   0.083985   0.000007   
-1.780645   8.46917941E-02   0.084691   0.000009   
-1.775806   8.54015485E-02   0.085401   0.000008   
-1.770968   8.61152953E-02   0.086115   0.000005   
-1.766129   8.68330355E-02   0.086833   0.000000   
-1.761290   8.75547694E-02   0.087555   -0.000004   
-1.756452   8.82804974E-02   0.088281   -0.000008   
-1.751613   8.90102195E-02   0.089011   -0.000009   
-1.746774   8.97439355E-02   0.089745   -0.000007   
-1.741935   9.04816447E-02   0.090482   -0.000000   
-1.741935   9.04816447E-02   0.090482   0.000000   
-1.737097   9.12233464E-02   0.091223   0.000006   
-1.732258   9.19690396E-02   0.091968   0.000009   
-1.727419   9.27187227E-02   0.092718   0.000008   
-1.722581   9.34723942E-02   0.093472   0.000004   
-1.717742   9.42300520E-02   0.094230   0.000000   
-1.712903   9.49916940E-02   0.094992   -0.000004   
-1.708065   9.57573177E-02   0.095758   -0.000007   
-1.703226   9.65269201E-02   0.096528   -0.000008   
-1.698387   9.73004983E-02   0.097301   -0.000006   
-1.693548   9.80780487E-02   0.098078   0.000000   
-1.693548   9.80780487E-02   0.098078   0.000000   
-1.688710   9.88595677E-02   0.098859   0.000006   
-1.683871   9.96450512E-02   0.099644   0.000008   
-1.679032   1.00434495E-01   0.100434   0.000007   
-1.674194   1.01227894E-01   0.101227   0.000004   
-1.669355   1.02025244E-01   0.102025   0.000000   
-1.664516   1.02826540E-01   0.102827   -0.000004   
-1.659677   1.03631775E-01   0.103632   -0.000007   
-1.654839   1.04440945E-01   0.104442   -0.000008   
-1.650000   1.05254042E-01   0.105255   -0.000006   
-1.645161   1.06071061E-01   0.106071   -0.000000   
-1.645161   1.06071061E-01   0.106071   0.000000   
-1.640323   1.06891994E-01   0.106891   0.000006   
-1.635484   1.07716835E-01   0.107716   0.000008   
-1.630645   1.08545575E-01   0.108545   0.000007   
-1.625806   1.09378208E-01   0.109378   0.000004   
-1.620968   1.10214725E-01   0.110215   0.000000   
-1.616129   1.11055118E-01   0.111056   -0.000004   
-1.611290   1.11899377E-01   0.111900   -0.000007   
-1.606452   1.12747495E-01   0.112748   -0.000008   
-1.601613   1.13599460E-01   0.113600   -0.000006   
-1.596774   1.14455265E-01   0.114455   0.000000   
-1.596774   1.14455265E-01   0.114455   0.000000   
-1.591935   1.15314897E-01   0.115314   0.000005   
-1.587097   1.16178348E-01   0.116178   0.000007   
-1.582258   1.17045606E-01   0.117045   0.000006   
-1.577419   1.17916661E-01   0.117916   0.000004   
-1.572581   1.18791500E-01   0.118791   0.000000   
-1.567742   1.19670112E-01   0.119671   -0.000003   
-1.562903   1.20552485E-01   0.120553   -0.000006   
-1.558065   1.21438606E-01   0.121439   -0.000007   
-1.553226   1.22328463E-01   0.122329   -0.000005   
-1.548387   1.23222042E-01   0.123222   0.000000   
-1.548387   1.23222042E-01   0.123222   0.000000   
-1.543548   1.24119329E-01   0.124119   0.000005   
-1.538710   1.25020312E-01   0.125019   0.000007   
-1.533871   1.25924975E-01   0.125924   0.000006   
-1.529032   1.26833304E-01   0.126833   0.000004   
-1.524194   1.27745284E-01   0.127745   0.000000   
